frame_id,x,y
1,640,360
2,644,356
3,646,352
4,644,346
5,642,344
6,640,338
7,636,334
8,640,330
9,638,330
10,634,328
11,634,324
12,632,318
13,630,318
14,630,312
15,626,310
16,624,308
17,622,302
18,622,294
19,624,286
20,620,280
21,622,272
22,626,264
23,636,256
24,642,246
25,650,240
26,652,232
27,656,214
28,652,178
29,644,134
30,636,86
31,624,38
32,622,12
33,628,4
34,632,0
35,638,0
36,648,0
37,654,6
38,660,14
39,666,24
40,670,38
41,672,58
42,678,78
43,684,96
44,688,118
45,698,134
46,710,146
47,724,156
48,734,166
49,746,176
50,760,186
51,768,200
52,774,220
53,772,242
54,750,268
55,718,294
56,684,318
57,652,340
58,650,362
59,650,380
60,650,400
61,646,420
62,636,442
63,620,458
64,596,480
65,566,504
66,534,526
67,510,546
68,522,562
69,538,572
70,548,582
71,550,594
72,560,608
73,574,622
74,590,636
75,610,650
76,636,660
77,674,666
78,704,672
79,704,676
80,708,678
81,712,678
82,716,684
83,722,686
84,740,672
85,766,648
86,790,620
87,812,594
88,832,570
89,856,540
90,868,534
91,870,534
92,872,534
93,878,534
94,878,532
95,882,532
96,876,524
97,870,506
98,860,472
99,860,440
100,854,408
101,846,372
102,830,340
103,810,312
104,788,282
105,772,262
106,780,262
107,790,264
108,798,268
109,800,270
110,816,274
111,832,282
112,824,272
113,804,254
114,778,232
115,748,204
116,710,184
117,674,160
118,628,142
119,586,120
120,540,102
121,494,84
122,450,62
123,398,40
124,344,24
125,290,6
126,228,0
127,180,0
128,132,0
129,78,0
130,20,0
131,0,2
132,0,0
133,0,4
134,0,10
135,0,18
136,0,26
137,0,32
138,0,38
139,0,40
140,0,44
141,0,42
142,0,46
143,0,50
144,2,56
145,6,64
146,4,74
147,4,82
148,4,92
149,8,102
150,20,106
151,40,116
152,66,122
153,106,124
154,148,126
155,194,124
156,240,126
157,262,126
158,268,124
159,276,120
160,284,118
161,288,118
162,274,120
163,264,122
164,254,122
165,242,120
166,224,130
167,214,142
168,202,156
169,194,174
170,184,192
171,180,210
172,164,234
173,158,246
174,154,260
175,156,270
176,150,280
177,146,292
178,136,304
179,138,318
180,148,340
181,160,356
182,172,376
183,190,394
184,204,412
185,220,430
186,232,446
187,248,464
188,264,486
189,278,502
190,278,514
191,274,524
192,268,538
193,262,548
194,260,558
195,268,568
196,276,578
197,282,588
198,294,596
199,304,604
200,310,614
201,326,624
202,334,632
203,336,632
204,340,636
205,342,638
206,344,638
207,350,640
208,354,644
209,396,636
210,448,626
211,494,614
212,536,600
213,578,594
214,574,594
215,568,600
216,560,604
217,554,608
218,576,600
219,614,580
220,654,556
221,692,532
222,726,502
223,754,468
224,778,438
225,802,408
226,822,374
227,842,342
228,858,328
229,850,328
230,844,330
231,844,330
232,842,330
233,848,328
234,854,326
235,866,304
236,862,266
237,838,232
238,800,200
239,754,168
240,706,136
241,658,106
242,642,94
243,630,88
244,624,84
245,624,86
246,626,88
247,622,86
248,622,84
249,618,82
250,586,76
251,524,72
252,458,66
253,390,58
254,322,52
255,256,40
256,194,28
257,128,18
258,64,8
259,12,0
260,10,0
261,10,0
262,10,0
263,12,0
264,10,0
265,12,0
266,14,0
267,0,0
268,0,0
269,0,0
270,2,0
271,2,0
272,4,6
273,6,14
274,4,26
275,10,34
276,14,50
277,18,62
278,26,78
279,32,90
280,36,104
281,40,116
282,50,130
283,52,142
284,64,158
285,70,170
286,72,180
287,74,186
288,74,190
289,72,192
290,74,190
291,64,190
292,52,186
293,44,184
294,52,200
295,56,212
296,64,226
297,72,244
298,80,262
299,84,278
300,90,292
301,92,304
302,88,304
303,82,300
304,74,296
305,62,290
306,48,286
307,46,286
308,48,292
309,58,302
310,68,308
311,86,314
312,106,320
313,134,324
314,164,332
315,186,338
316,208,346
317,232,352
318,246,358
319,274,362
320,302,370
321,306,374
322,298,372
323,288,374
324,272,378
325,256,382
326,246,384
327,260,394
328,276,408
329,300,420
330,320,428
331,338,434
332,360,438
333,378,444
334,396,448
335,412,452
336,438,458
337,466,460
338,490,466
339,486,464
340,478,462
341,474,460
342,464,462
343,452,464
344,480,452
345,518,426
346,558,394
347,592,364
348,628,336
349,656,310
350,688,284
351,690,280
352,696,276
353,694,272
354,694,270
355,694,268
356,708,272
357,722,272
358,732,272
359,764,268
360,794,270
361,810,268
362,830,266
363,860,266
364,866,266
365,862,260
366,864,256
367,864,250
368,866,250
369,852,256
370,840,266
371,826,276
372,818,288
373,812,300
374,806,310
375,798,320
376,794,322
377,796,318
378,790,314
379,790,308
380,784,300
381,776,284
382,758,246
383,718,204
384,656,164
385,594,128
386,534,96
387,484,72
388,470,66
389,456,60
390,444,54
391,434,46
392,420,36
393,394,30
394,386,32
395,374,38
396,356,46
397,352,54
398,354,66
399,356,80
400,360,90
401,360,104
402,364,118
403,380,138
404,404,158
405,428,176
406,450,192
407,472,204
408,486,214
409,484,224
410,486,230
411,486,230
412,484,232
413,478,230
414,494,240
415,506,250
416,528,262
417,554,274
418,582,284
419,614,296
420,634,300
421,658,310
422,684,318
423,706,324
424,714,320
425,714,320
426,716,320
427,714,318
428,730,304
429,750,274
430,752,236
431,746,196
432,738,154
433,728,118
434,726,104
435,730,96
436,734,92
437,738,86
438,744,82
439,730,72
440,704,70
441,672,76
442,638,82
443,608,92
444,578,110
445,550,132
446,516,156
447,486,178
448,488,192
449,496,206
450,504,218
451,506,226
452,508,234
453,510,240
454,518,256
455,526,274
456,532,294
457,540,308
458,544,332
459,550,350
460,554,370
461,560,396
462,566,418
463,580,438
464,606,458
465,636,476
466,662,494
467,686,508
468,696,516
469,700,520
470,704,530
471,710,538
472,724,546
473,760,546
474,814,548
475,864,542
476,918,534
477,972,526
478,1026,512
479,1030,516
480,1036,520
481,1038,522
482,1046,530
483,1046,532
484,1014,514
485,956,492
486,896,472
487,834,452
488,772,432
489,710,412
490,644,392
491,576,374
492,510,354
493,450,328
494,400,312
495,394,312
496,390,314
497,396,318
498,400,322
499,406,324
500,394,320
501,368,314
502,344,310
503,320,304
504,312,306
505,312,312
506,318,322
507,332,332
508,346,340
509,360,356
510,368,370
511,376,376
512,384,378
513,386,384
514,384,384
515,380,384
516,378,386
517,374,386
518,368,384
519,368,384
520,374,390
521,390,398
522,408,406
523,430,418
524,454,428
525,484,434
526,516,440
527,538,446
528,542,448
529,546,448
530,548,446
531,546,446
532,560,452
533,572,454
534,580,456
535,596,462
536,616,462
537,644,462
538,686,464
539,724,464
540,772,462
541,784,464
542,778,468
543,778,472
544,772,474
545,772,476
546,768,480
547,768,484
548,768,488
549,774,476
550,794,458
551,816,432
552,836,404
553,848,370
554,846,334
555,850,300
556,854,264
557,856,228
558,856,198
559,856,194
560,854,190
561,856,186
562,856,184
563,852,178
564,834,158
565,800,130
566,744,104
567,686,82
568,630,54
569,568,34
570,508,18
571,450,0
572,394,0
573,338,0
574,304,0
575,292,0
576,284,0
577,280,0
578,272,0
579,264,0
580,256,0
581,242,0
582,244,12
583,246,28
584,248,50
585,258,70
586,268,90
587,280,114
588,282,138
589,286,154
590,288,166
591,282,186
592,282,200
593,282,212
594,280,224
595,296,242
596,308,268
597,326,294
598,348,316
599,358,340
